Mes 1,Mes 2,Mes 3,Mes 4,Mes 5,Mes 6,Mes 7,Mes 8,Mes 9,Mes 10,Mes 11,Mes 12
326,2.0,133,65.0,372,50.0,323,402,355.0,254,435.0,367
372,486.0,477,479.0,347,7.0,100,131,56.0,280,488.0,340
290,79.0,472,452.0,463,245.0,132,19,68.0,191,27.0,185
254,139.0,269,159.0,123,11.0,94,455,446.0,16,285.0,487
401,30.0,483,466.0,97,189.0,113,148,15.0,14,170.0,25
189,352.0,13,62.0,92,128.0,27,281,238.0,349,108.0,461
35,34.0,307,76.0,500,12.0,191,344,479.0,43,409.0,107
408,174.0,295,267.0,456,350.0,355,90,401.0,177,4.0,278
447,227.0,346,406.0,258,162.0,8,350,480.0,414,205.0,37
257,125.0,397,246.0,252,35.0,480,160,342.0,175,108.0,488
231,160.0,31,118.0,238,357.0,422,494,45.0,264,341.0,235
223,274.0,424,497.0,414,291.0,425,395,401.0,342,236.0,12
127,341.0,212,83.0,23,201.0,168,234,463.0,77,113.0,282
34,357.0,126,199.0,116,416.0,388,227,206.0,207,90.0,318
81,151.0,97,138.0,184,362.0,334,452,340.0,260,128.0,149
4,145.0,311,365.0,37,85.0,64,73,490.0,138,279.0,200
246,353.0,232,329.0,374,151.0,119,245,465.0,380,269.0,229
169,478.0,190,265.0,409,235.0,409,64,466.0,473,25.0,11
488,373.0,105,204.0,138,78.0,131,367,491.0,325,145.0,239
71,369.0,89,414.0,169,154.0,25,256,477.0,75,74.0,413
74,403.0,119,354.0,84,356.0,365,80,94.0,177,193.0,37
364,417.0,188,40.0,147,69.0,384,207,108.0,11,412.0,402
456,31.0,392,81.0,319,52.0,76,370,5.0,286,51.0,172
130,467.0,174,452.0,12,462.0,273,457,69.0,283,356.0,437
170,2.0,172,33.0,335,209.0,363,274,415.0,370,280.0,247
172,314.0,151,124.0,0,328.0,35,94,46.0,261,442.0,228
114,33.0,95,229.0,232,213.0,297,252,23.0,376,448.0,440
89,11.0,463,57.0,239,213.0,241,55,169.0,288,348.0,384
77,,355,489.0,41,5.0,150,402,234.0,116,91.0,16
486,,70,169.0,460,19.0,123,188,321.0,449,157.0,312
87,,5,,376,,265,481,,247,,25
