Mes 1,Mes 2,Mes 3,Mes 4,Mes 5,Mes 6,Mes 7,Mes 8,Mes 9,Mes 10,Mes 11,Mes 12
206,454.0,287,100.0,168,98.0,128,64,389.0,16,484.0,186
314,353.0,4,371.0,308,408.0,444,271,397.0,472,49.0,68
101,17.0,52,49.0,399,487.0,188,274,20.0,289,382.0,202
303,209.0,320,496.0,301,226.0,184,88,495.0,325,210.0,97
371,465.0,48,128.0,359,160.0,45,133,172.0,225,256.0,297
392,124.0,376,55.0,473,384.0,91,99,401.0,156,361.0,24
131,272.0,165,194.0,385,13.0,445,192,323.0,224,179.0,116
293,67.0,464,484.0,347,278.0,465,205,147.0,58,159.0,339
446,302.0,473,336.0,170,323.0,26,126,154.0,367,33.0,7
117,279.0,77,360.0,89,10.0,345,220,412.0,167,198.0,30
419,135.0,164,120.0,158,155.0,199,102,357.0,487,355.0,149
215,89.0,271,465.0,132,80.0,341,93,79.0,182,443.0,160
67,254.0,249,334.0,467,77.0,290,252,244.0,170,472.0,249
253,396.0,121,115.0,203,423.0,482,275,252.0,500,425.0,386
233,98.0,18,351.0,194,16.0,30,498,296.0,366,240.0,102
140,58.0,307,102.0,8,406.0,458,255,142.0,433,355.0,102
64,109.0,250,200.0,139,172.0,492,238,136.0,347,331.0,183
355,266.0,376,5.0,5,24.0,310,218,410.0,138,23.0,377
361,145.0,402,26.0,3,339.0,350,91,32.0,129,463.0,181
133,101.0,250,394.0,457,369.0,120,452,475.0,377,316.0,88
7,80.0,480,215.0,129,141.0,42,445,170.0,76,451.0,343
480,156.0,4,498.0,61,88.0,108,230,300.0,221,104.0,384
181,344.0,312,122.0,23,286.0,342,368,1.0,493,382.0,490
492,40.0,409,496.0,373,7.0,382,81,348.0,112,466.0,398
176,140.0,355,222.0,14,33.0,243,283,448.0,82,423.0,438
367,64.0,432,204.0,383,208.0,167,175,174.0,39,94.0,307
196,435.0,347,139.0,424,292.0,495,271,293.0,402,420.0,389
416,90.0,6,452.0,260,378.0,67,277,224.0,184,146.0,29
278,,143,8.0,45,165.0,55,294,315.0,279,181.0,15
376,,65,424.0,444,492.0,420,489,140.0,81,48.0,341
231,,60,,423,,200,348,,34,,188
