Mes 1,Mes 2,Mes 3,Mes 4,Mes 5,Mes 6,Mes 7,Mes 8,Mes 9,Mes 10,Mes 11,Mes 12
190,119.0,306,288.0,78,267.0,245,169,25.0,305,164.0,9
44,105.0,366,305.0,390,68.0,208,465,477.0,424,281.0,260
385,336.0,69,432.0,358,193.0,326,364,311.0,161,260.0,149
258,378.0,192,260.0,373,263.0,201,422,296.0,160,219.0,99
492,439.0,11,226.0,381,480.0,105,372,243.0,469,208.0,24
298,390.0,313,146.0,180,483.0,495,85,164.0,103,487.0,382
100,329.0,174,75.0,22,59.0,196,20,291.0,180,346.0,397
74,271.0,102,122.0,417,387.0,141,211,402.0,276,248.0,347
300,189.0,253,100.0,178,160.0,350,231,193.0,18,476.0,438
362,158.0,63,61.0,341,312.0,46,462,285.0,378,414.0,192
200,322.0,441,211.0,343,43.0,482,177,236.0,266,368.0,348
87,399.0,168,369.0,464,83.0,171,496,11.0,240,387.0,73
299,64.0,455,107.0,9,384.0,56,55,344.0,333,24.0,271
44,475.0,340,150.0,240,305.0,32,235,203.0,322,243.0,90
27,102.0,113,45.0,461,289.0,210,438,460.0,285,369.0,357
249,258.0,116,22.0,59,306.0,340,61,195.0,364,327.0,127
333,325.0,214,160.0,234,227.0,390,481,326.0,226,474.0,299
458,275.0,379,19.0,382,447.0,388,97,157.0,99,327.0,112
380,81.0,101,311.0,327,256.0,496,378,93.0,297,29.0,398
124,32.0,351,182.0,456,432.0,9,37,304.0,292,202.0,68
302,327.0,271,356.0,367,157.0,392,240,105.0,25,138.0,443
169,171.0,335,288.0,374,316.0,459,468,307.0,157,172.0,170
360,156.0,78,488.0,377,402.0,457,96,22.0,312,292.0,326
250,41.0,297,265.0,254,279.0,137,466,42.0,23,116.0,124
248,443.0,276,254.0,183,411.0,30,229,71.0,459,49.0,397
393,287.0,111,188.0,233,346.0,362,245,89.0,68,411.0,476
124,82.0,406,82.0,136,44.0,209,150,220.0,313,372.0,137
57,207.0,246,418.0,375,446.0,210,309,153.0,2,280.0,91
468,,426,193.0,348,441.0,333,374,79.0,296,269.0,352
340,,426,370.0,142,19.0,233,157,235.0,291,354.0,26
185,,365,,5,,227,303,,406,,134
