Mes 1,Mes 2,Mes 3,Mes 4,Mes 5,Mes 6,Mes 7,Mes 8,Mes 9,Mes 10,Mes 11,Mes 12
8,355.0,493,460.0,163,379.0,398,164,22.0,193,63.0,260
311,444.0,392,463.0,148,91.0,87,4,103.0,359,466.0,6
17,22.0,240,268.0,323,47.0,446,19,246.0,0,349.0,188
200,197.0,6,78.0,393,417.0,201,278,46.0,251,127.0,82
88,80.0,395,86.0,315,89.0,67,26,163.0,395,449.0,482
244,115.0,169,355.0,193,371.0,307,275,289.0,106,311.0,149
118,252.0,157,150.0,110,332.0,76,433,291.0,204,348.0,398
246,120.0,376,425.0,72,225.0,385,65,184.0,308,54.0,337
88,110.0,279,171.0,83,246.0,353,38,81.0,419,184.0,218
412,281.0,141,441.0,362,400.0,311,436,473.0,456,126.0,211
31,7.0,297,20.0,122,318.0,478,155,101.0,105,221.0,475
37,172.0,249,340.0,361,261.0,101,223,432.0,284,348.0,111
54,296.0,24,426.0,249,419.0,271,400,432.0,106,23.0,120
157,282.0,23,40.0,54,40.0,260,121,150.0,279,96.0,56
319,310.0,479,243.0,462,24.0,161,34,309.0,372,86.0,69
209,246.0,192,171.0,385,306.0,328,77,298.0,104,106.0,188
257,392.0,357,279.0,318,42.0,487,494,74.0,99,105.0,421
189,373.0,213,86.0,22,384.0,466,95,495.0,437,275.0,390
410,323.0,262,446.0,177,284.0,77,450,449.0,419,49.0,445
406,181.0,218,393.0,442,494.0,376,378,280.0,479,28.0,119
444,138.0,48,190.0,141,466.0,172,270,14.0,221,453.0,232
2,408.0,318,388.0,484,371.0,224,26,244.0,90,398.0,61
286,337.0,467,334.0,149,363.0,271,128,102.0,294,52.0,194
262,26.0,393,248.0,426,342.0,354,362,128.0,327,153.0,287
444,52.0,113,182.0,199,37.0,20,160,10.0,120,344.0,403
364,367.0,312,245.0,133,221.0,398,65,309.0,285,193.0,32
365,472.0,8,136.0,467,25.0,272,458,254.0,439,129.0,134
159,251.0,141,138.0,339,139.0,135,88,168.0,92,134.0,473
142,,27,468.0,213,413.0,431,267,238.0,410,273.0,242
143,,110,280.0,360,67.0,395,114,206.0,398,166.0,32
206,,258,,117,,140,228,,76,,357
