Mes 1,Mes 2,Mes 3,Mes 4,Mes 5,Mes 6,Mes 7,Mes 8,Mes 9,Mes 10,Mes 11,Mes 12
261,146,62,391,396,451,298,107,296,489,484,496
301,334,483,3,37,132,83,340,164,33,240,360
338,248,173,251,130,292,377,14,167,289,184,48
347,34,81,123,238,386,26,396,452,452,420,393
101,61,170,320,466,394,105,290,479,3,22,121
14,383,98,246,450,83,70,442,446,367,43,435
43,104,398,351,179,366,357,331,286,431,303,441
481,131,185,493,16,313,61,312,500,239,428,439
2,291,112,230,330,134,336,290,139,301,497,260
262,22,103,205,242,462,226,224,98,77,370,121
31,62,399,273,147,14,117,195,24,140,79,306
428,289,205,185,209,316,159,272,423,439,100,392
199,488,326,448,2,463,269,156,336,105,291,266
97,22,435,164,106,141,196,81,136,285,235,107
117,210,228,455,356,412,98,85,222,251,238,332
9,207,361,494,115,114,320,119,31,332,498,421
66,431,133,255,267,370,478,172,476,437,147,243
49,434,122,116,173,212,441,3,401,376,20,242
263,225,95,130,28,154,111,243,498,348,385,201
13,64,220,268,126,201,185,108,355,455,206,363
359,481,262,80,229,464,378,390,383,53,181,150
13,70,188,323,1,228,172,75,298,27,156,311
212,4,178,191,158,306,417,182,380,403,379,436
453,254,402,375,165,428,104,211,50,227,350,223
17,72,385,312,153,17,161,165,490,206,325,330
139,299,27,490,287,150,125,355,49,380,444,39
139,320,488,154,57,451,209,163,23,263,245,316
499,189,401,476,70,2,36,311,455,4,83,75
412,0,433,118,329,99,425,286,256,290,483,242
14,0,227,261,331,108,182,207,137,87,340,277
388,0,310,0,91,0,450,327,0,285,0,264
